mep_id,start_date,end_date,political_group
96833,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28617,20-07-2004,13-07-2009,Union for Europe of the Nations Group
28617,14-07-2009,23-07-2009,Group of the European People's Party (Christian Democrats)
28617,24-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
28617,01-11-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
28617,02-07-2019,,Group of the European People's Party (Christian Democrats)
28298,20-07-2004,13-07-2009,Socialist Group in the European Parliament
28298,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28298,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28298,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124875,01-07-2014,31-08-2015,European Conservatives and Reformists Group
124875,01-09-2015,12-12-2016,European Conservatives and Reformists Group
124875,13-12-2016,10-01-2017,European Conservatives and Reformists Group
124875,11-01-2017,15-01-2017,European Conservatives and Reformists Group
124875,16-01-2017,04-07-2017,European Conservatives and Reformists Group
124875,05-07-2017,24-10-2017,European Conservatives and Reformists Group
124875,25-10-2017,07-01-2018,European Conservatives and Reformists Group
124875,08-01-2018,03-07-2018,European Conservatives and Reformists Group
124875,04-07-2018,01-07-2019,European Conservatives and Reformists Group
124875,22-11-2022,,Identity and Democracy Group
125012,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
125012,02-07-2019,,Group of the European People's Party (Christian Democrats)
23768,23-04-2003,30-04-2004,Group of the Party of European Socialists
23768,01-05-2004,19-07-2004,Group of the Party of European Socialists
23768,20-07-2004,13-07-2009,Socialist Group in the European Parliament
23768,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
23768,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
23768,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
125067,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
125067,02-07-2019,05-04-2024,Group of the European People's Party (Christian Democrats)
125067,06-04-2024,17-04-2024,Non-attached Members
125067,18-04-2024,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197494,02-07-2019,,Renew Europe Group
197519,02-07-2019,,European Conservatives and Reformists Group
33982,26-09-2005,31-12-2006,Group of the European People's Party (Christian Democrats) and European Democrats
33982,01-01-2007,14-02-2007,Group of the European People's Party (Christian Democrats) and European Democrats
33982,15-02-2007,09-12-2007,Group of the European People's Party (Christian Democrats) and European Democrats
33982,10-12-2007,07-01-2008,Group of the European People's Party (Christian Democrats) and European Democrats
33982,08-01-2008,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
33982,14-07-2009,24-11-2009,Group of the European People's Party (Christian Democrats)
33982,25-11-2009,02-02-2012,Group of the European People's Party (Christian Democrats)
33982,03-02-2012,30-06-2014,Group of the European People's Party (Christian Democrats)
33982,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
33982,02-07-2019,,Group of the European People's Party (Christian Democrats)
28150,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28150,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
28150,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
28150,02-07-2019,04-03-2021,Group of the European People's Party (Christian Democrats)
28150,05-03-2021,,Non-attached Members
197472,02-07-2019,,Identity and Democracy Group
190464,10-11-2017,01-07-2019,Group of the Greens/European Free Alliance
190464,01-02-2020,,Group of the Greens/European Free Alliance
197621,02-07-2019,,Group of the European People's Party (Christian Democrats)
