id,type,activity_id,had_activity_type
eli/dl/event/MTG-PL-2023-01-16,Activity,MTG-PL-2023-01-16,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-01-17,Activity,MTG-PL-2023-01-17,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-01-18,Activity,MTG-PL-2023-01-18,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-01-19,Activity,MTG-PL-2023-01-19,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-01-26,Activity,MTG-PL-2023-01-26,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-02-01,Activity,MTG-PL-2023-02-01,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-02-02,Activity,MTG-PL-2023-02-02,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-02-09,Activity,MTG-PL-2023-02-09,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-02-13,Activity,MTG-PL-2023-02-13,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-02-14,Activity,MTG-PL-2023-02-14,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-02-15,Activity,MTG-PL-2023-02-15,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-02-16,Activity,MTG-PL-2023-02-16,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-03-13,Activity,MTG-PL-2023-03-13,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-03-14,Activity,MTG-PL-2023-03-14,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-03-15,Activity,MTG-PL-2023-03-15,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-03-16,Activity,MTG-PL-2023-03-16,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-03-29,Activity,MTG-PL-2023-03-29,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-03-30,Activity,MTG-PL-2023-03-30,def/ep-activities/PLENARY_SITTING
