id,type,activity_id,had_activity_type
eli/dl/event/MTG-PL-2023-04-17,Activity,MTG-PL-2023-04-17,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-04-18,Activity,MTG-PL-2023-04-18,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-04-19,Activity,MTG-PL-2023-04-19,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-04-20,Activity,MTG-PL-2023-04-20,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-05-08,Activity,MTG-PL-2023-05-08,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-05-09,Activity,MTG-PL-2023-05-09,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-05-10,Activity,MTG-PL-2023-05-10,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-05-11,Activity,MTG-PL-2023-05-11,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-05-31,Activity,MTG-PL-2023-05-31,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-06-01,Activity,MTG-PL-2023-06-01,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-06-12,Activity,MTG-PL-2023-06-12,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-06-13,Activity,MTG-PL-2023-06-13,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-06-14,Activity,MTG-PL-2023-06-14,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-06-15,Activity,MTG-PL-2023-06-15,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-07-10,Activity,MTG-PL-2023-07-10,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-07-11,Activity,MTG-PL-2023-07-11,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-07-12,Activity,MTG-PL-2023-07-12,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-07-13,Activity,MTG-PL-2023-07-13,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-09-11,Activity,MTG-PL-2023-09-11,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-09-12,Activity,MTG-PL-2023-09-12,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-09-13,Activity,MTG-PL-2023-09-13,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-09-14,Activity,MTG-PL-2023-09-14,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-02,Activity,MTG-PL-2023-10-02,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-03,Activity,MTG-PL-2023-10-03,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-04,Activity,MTG-PL-2023-10-04,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-05,Activity,MTG-PL-2023-10-05,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-16,Activity,MTG-PL-2023-10-16,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-17,Activity,MTG-PL-2023-10-17,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-18,Activity,MTG-PL-2023-10-18,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-10-19,Activity,MTG-PL-2023-10-19,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-11-08,Activity,MTG-PL-2023-11-08,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-11-09,Activity,MTG-PL-2023-11-09,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-11-20,Activity,MTG-PL-2023-11-20,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-11-21,Activity,MTG-PL-2023-11-21,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-11-22,Activity,MTG-PL-2023-11-22,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-11-23,Activity,MTG-PL-2023-11-23,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-12-11,Activity,MTG-PL-2023-12-11,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-12-12,Activity,MTG-PL-2023-12-12,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-12-13,Activity,MTG-PL-2023-12-13,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2023-12-14,Activity,MTG-PL-2023-12-14,def/ep-activities/PLENARY_SITTING
